Product_ID,Date,Offer_ID,Times_Occurred,Offer_Description,Est_Units_Sold
1252975,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",26.0
1252975,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,19.0
1252975,2022-02-13,109974,2,Buy 2 Get 10% Off on MRP,88.0
1252975,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,48.0
1252975,2022-02-16,110160,2,Buy 2 Get 10% Off on MRP,50.0
1252975,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,9.0
1252975,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,71.0
1252975,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),25.0
1252975,2022-02-21,110408,2,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,25.0
1338610,2021-12-16,106323,9,Additional 10% off on purchase worth Rs. 1000/-,86.0
